ai_run_id,document_id,case_id,task,detected_format,sample_variant,document_role,provider_requested,provider_used,fallback_used,fallback_reason,status,error_stage,error_code,confidence_score,intake_status,missing_count,conflict_count,processing_ms,latency_is_simulated,retry_of_run_id,bug_replay,started_at
30,13,9,summarisation,pdf,missing_fields,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-01-09T18:03:27
31,14,6,extraction,pdf,degraded,supporting,mock-primary,mock-fallback,1,PROVIDER_TIMEOUT,success,,,0.705,Missing Information,1,0,7472.2,1,,"category_substring,docx_routing",2026-01-10T11:51:06
32,14,6,category_suggestion,pdf,degraded,supporting,mock-primary,mock-primary,0,,success,,,0.95,,,,260.8,1,,"category_substring,docx_routing",2026-01-10T11:51:06
33,15,,extraction,png,degraded,primary,mock-primary,,1,PROVIDER_ERROR,error,ai_provider,AI_UNAVAILABLE,,,,,3785.3,1,,"category_substring,docx_routing",2026-01-12T12:07:10
34,16,1,extraction,docx,clean,supporting,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,567.4,1,,"category_substring,docx_routing",2026-01-12T12:16:52
35,17,10,extraction,png,degraded,primary,mock-primary,mock-primary,0,,success,,,0.727,Missing Information,1,0,4025.3,1,33,"category_substring,docx_routing",2026-01-12T14:17:10
36,17,10,category_suggestion,png,degraded,primary,mock-primary,mock-fallback,1,PROVIDER_TIMEOUT,success,,,0.4,,,,6222.0,1,,"category_substring,docx_routing",2026-01-12T14:17:10
37,17,10,summarisation,png,degraded,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-01-12T14:48:38
38,18,11,extraction,pdf,missing_fields,primary,mock-primary,mock-primary,0,,success,,,0.829,Missing Information,1,0,943.2,1,,"category_substring,docx_routing",2026-01-13T17:19:55
39,18,11,category_suggestion,pdf,missing_fields,primary,mock-primary,mock-primary,0,,success,,,0.83,,,,290.5,1,,"category_substring,docx_routing",2026-01-13T17:19:55
40,19,10,extraction,jpg,degraded,supporting,mock-primary,mock-primary,0,,success,,,0.897,Complete,0,0,2850.7,1,,"category_substring,docx_routing",2026-01-13T18:37:38
41,19,10,category_suggestion,jpg,degraded,supporting,mock-primary,mock-primary,0,,success,,,0.95,,,,389.2,1,,"category_substring,docx_routing",2026-01-13T18:37:38
42,18,11,summarisation,pdf,missing_fields,primary,mock-primary,mock-primary,0,,success,,,,,,,0.0,0,,,2026-01-13T18:41:59
43,21,12,extraction,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.942,Complete,0,0,1089.9,1,,"category_substring,docx_routing",2026-01-14T11:36:52
44,21,12,category_suggestion,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.9,,,,188.3,1,,"category_substring,docx_routing",2026-01-14T11:36:52
45,22,13,extraction,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.948,Complete,0,0,964.7,1,,"category_substring,docx_routing",2026-01-14T13:22:34
46,22,13,category_suggestion,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,404.0,1,,"category_substring,docx_routing",2026-01-14T13:22:34
47,21,12,assistant,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,0.0,0,,,2026-01-14T13:53:44
48,22,13,summarisation,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-01-14T13:56:28
49,23,,extraction,docx,clean,primary,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,647.9,1,,"category_substring,docx_routing",2026-01-14T16:21:09
50,24,7,extraction,pdf,degraded,supporting,mock-primary,mock-primary,0,,success,,,0.755,Missing Information,1,0,1739.5,1,,"category_substring,docx_routing",2026-01-16T10:13:36
51,24,7,category_suggestion,pdf,degraded,supporting,mock-primary,mock-primary,0,,success,,,0.85,,,,293.8,1,,"category_substring,docx_routing",2026-01-16T10:13:36
52,25,,extraction,docx,clean,primary,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,516.4,1,,"category_substring,docx_routing",2026-01-16T11:55:52
53,26,14,extraction,pdf,multipage,primary,mock-primary,mock-primary,0,,success,,,0.948,Complete,0,0,2142.6,1,,"category_substring,docx_routing",2026-01-16T14:01:30
54,26,14,category_suggestion,pdf,multipage,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,350.2,1,,"category_substring,docx_routing",2026-01-16T14:01:30
55,26,14,summarisation,pdf,multipage,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-01-16T15:25:17
56,27,15,extraction,pdf,degraded,primary,mock-primary,mock-primary,0,,success,,,0.918,Complete,0,0,1933.6,1,,"category_substring,docx_routing",2026-01-16T16:14:02
57,27,15,category_suggestion,pdf,degraded,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,328.2,1,,"category_substring,docx_routing",2026-01-16T16:14:02
58,27,15,summarisation,pdf,degraded,primary,mock-primary,mock-primary,0,,success,,,,,,,0.0,0,,,2026-01-16T16:35:00
59,28,,extraction,docx,missing_fields,primary,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,693.2,1,,"category_substring,docx_routing",2026-01-19T11:33:55
60,29,16,extraction,pdf,multipage,primary,mock-primary,mock-primary,0,,success,,,0.948,Complete,0,0,1330.1,1,,"category_substring,docx_routing",2026-01-19T11:44:03
61,29,16,category_suggestion,pdf,multipage,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,282.2,1,,"category_substring,docx_routing",2026-01-19T11:44:03
62,30,17,extraction,png,clean,primary,mock-primary,mock-primary,0,,success,,,0.948,Complete,0,0,2219.8,1,,"category_substring,docx_routing",2026-01-19T12:47:21
63,30,17,category_suggestion,png,clean,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,238.9,1,,"category_substring,docx_routing",2026-01-19T12:47:21
64,31,18,extraction,pdf,degraded,primary,mock-primary,mock-primary,0,,success,,,0.912,Complete,0,0,2100.3,1,,"category_substring,docx_routing",2026-01-20T09:30:12
65,31,18,category_suggestion,pdf,degraded,primary,mock-primary,mock-primary,0,,success,,,0.88,,,,306.9,1,,"category_substring,docx_routing",2026-01-20T09:30:12
66,31,18,assistant,pdf,degraded,primary,mock-primary,mock-primary,0,,success,,,,,,,0.0,0,,,2026-01-20T12:43:33
67,32,,extraction,docx,clean,primary,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,615.9,1,,"category_substring,docx_routing",2026-01-20T14:26:10
68,33,19,extraction,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.948,Complete,0,0,906.4,1,,"category_substring,docx_routing",2026-01-21T11:41:31
69,33,19,category_suggestion,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,334.2,1,,"category_substring,docx_routing",2026-01-21T11:41:31
70,34,,extraction,docx,clean,primary,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,527.9,1,,"category_substring,docx_routing",2026-01-21T14:00:18
71,33,19,assistant,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-01-21T15:32:31
72,35,20,extraction,png,clean,primary,mock-primary,mock-primary,0,,success,,,0.938,Complete,0,0,1865.9,1,,"category_substring,docx_routing",2026-01-21T16:51:21
73,35,20,category_suggestion,png,clean,primary,mock-primary,mock-primary,0,,success,,,0.86,,,,379.4,1,,"category_substring,docx_routing",2026-01-21T16:51:21
74,35,20,summarisation,png,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-01-21T17:43:10
75,35,20,assistant,png,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-01-21T18:42:10
76,36,21,extraction,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.918,Complete,0,0,879.5,1,,"category_substring,docx_routing",2026-01-22T08:29:44
77,36,21,category_suggestion,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,415.3,1,,"category_substring,docx_routing",2026-01-22T08:29:44
78,36,21,summarisation,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-01-22T09:32:23
79,37,,extraction,docx,clean,primary,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,501.6,1,,"category_substring,docx_routing",2026-01-22T10:17:59
80,38,22,extraction,jpg,degraded,primary,mock-primary,mock-primary,0,,success,,,0.814,Missing Information,1,0,3066.9,1,,"category_substring,docx_routing",2026-01-22T15:50:39
81,38,22,category_suggestion,jpg,degraded,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,261.4,1,,"category_substring,docx_routing",2026-01-22T15:50:39
82,38,22,summarisation,jpg,degraded,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-01-22T16:42:03
83,39,23,extraction,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.937,Complete,0,0,924.1,1,,"category_substring,docx_routing",2026-01-23T12:19:58
84,39,23,category_suggestion,pdf,clean,primary,mock-primary,mock-fallback,1,PROVIDER_TIMEOUT,success,,,0.85,,,,6237.5,1,,"category_substring,docx_routing",2026-01-23T12:19:58
85,39,23,assistant,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,0.3,0,,,2026-01-23T14:50:46
86,39,23,assistant,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-01-23T15:46:46
87,40,24,extraction,pdf,multipage,primary,mock-primary,mock-primary,0,,success,,,0.948,Complete,0,0,2151.5,1,,"category_substring,docx_routing",2026-01-26T09:24:20
88,40,24,category_suggestion,pdf,multipage,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,261.9,1,,"category_substring,docx_routing",2026-01-26T09:24:20
89,41,,extraction,docx,contradictory,primary,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,817.4,1,,"category_substring,docx_routing",2026-01-27T14:19:38
90,42,25,extraction,pdf,multipage,primary,mock-primary,mock-primary,0,,success,,,0.948,Complete,0,0,1887.6,1,,"category_substring,docx_routing",2026-01-27T16:15:03
91,42,25,category_suggestion,pdf,multipage,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,205.2,1,,"category_substring,docx_routing",2026-01-27T16:15:03
92,42,25,summarisation,pdf,multipage,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-01-27T18:01:27
93,43,26,extraction,pdf,multipage,primary,mock-primary,mock-primary,0,,success,,,0.948,Complete,0,0,2037.1,1,,"category_substring,docx_routing",2026-01-28T08:06:09
94,43,26,category_suggestion,pdf,multipage,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,246.1,1,,"category_substring,docx_routing",2026-01-28T08:06:09
95,43,26,assistant,pdf,multipage,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-01-28T09:02:59
96,43,26,assistant,pdf,multipage,primary,mock-primary,mock-primary,0,,success,,,,,,,0.0,0,,,2026-01-28T10:43:59
97,44,,extraction,jpg,clean,primary,mock-primary,,1,PROVIDER_ERROR,error,ai_provider,AI_UNAVAILABLE,,,,,4022.2,1,,"category_substring,docx_routing",2026-01-28T12:06:40
98,45,27,extraction,jpg,clean,primary,mock-primary,mock-primary,0,,success,,,0.922,Complete,0,0,2272.2,1,97,"category_substring,docx_routing",2026-01-28T14:30:40
99,45,27,category_suggestion,jpg,clean,primary,mock-primary,mock-primary,0,,success,,,0.72,,,,258.1,1,,"category_substring,docx_routing",2026-01-28T14:30:40
100,45,27,summarisation,jpg,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-01-28T15:59:38
101,46,,extraction,docx,clean,primary,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,744.2,1,,"category_substring,docx_routing",2026-01-29T10:23:03
102,47,,extraction,docx,contradictory,primary,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,2000.0,1,,"category_substring,docx_routing",2026-01-30T10:36:24
103,48,,extraction,docx,clean,primary,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,548.1,1,,"category_substring,docx_routing",2026-01-30T12:12:50
104,49,28,extraction,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.924,Complete,0,0,876.2,1,,"category_substring,docx_routing",2026-01-30T17:04:33
105,49,28,category_suggestion,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.74,,,,241.1,1,,"category_substring,docx_routing",2026-01-30T17:04:33
106,49,28,summarisation,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-01-30T17:21:15
107,50,22,extraction,pdf,degraded,supporting,mock-primary,mock-primary,0,,success,,,0.816,Complete,0,0,1698.3,1,,"category_substring,docx_routing",2026-01-31T20:19:03
108,50,22,category_suggestion,pdf,degraded,supporting,mock-primary,mock-primary,0,,success,,,0.95,,,,298.6,1,,"category_substring,docx_routing",2026-01-31T20:19:03
109,51,29,extraction,jpg,clean,primary,mock-primary,mock-fallback,1,PROVIDER_TIMEOUT,success,,,0.861,Complete,0,0,8143.5,1,,"category_substring,docx_routing",2026-02-03T08:07:12
110,51,29,category_suggestion,jpg,clean,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,375.2,1,,"category_substring,docx_routing",2026-02-03T08:07:12
111,52,,extraction,docx,clean,primary,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,664.6,1,,"category_substring,docx_routing",2026-02-03T09:32:07
112,53,,extraction,docx,clean,primary,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,791.0,1,,"category_substring,docx_routing",2026-02-03T09:39:24
113,54,,extraction,docx,clean,primary,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,756.3,1,,"category_substring,docx_routing",2026-02-04T11:48:53
114,55,30,extraction,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.948,Complete,0,0,861.6,1,,"category_substring,docx_routing",2026-02-04T15:10:23
115,55,30,category_suggestion,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,362.7,1,,"category_substring,docx_routing",2026-02-04T15:10:23
116,55,30,summarisation,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-02-04T16:11:43
117,56,31,extraction,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.948,Complete,0,0,873.5,1,,"category_substring,docx_routing",2026-02-04T17:51:58
118,56,31,category_suggestion,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,390.3,1,,"category_substring,docx_routing",2026-02-04T17:51:58
119,56,31,summarisation,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-02-04T18:29:23
120,57,32,extraction,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.918,Complete,0,0,1100.1,1,,"category_substring,docx_routing",2026-02-05T13:32:49
121,57,32,category_suggestion,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,203.0,1,,"category_substring,docx_routing",2026-02-05T13:32:49
122,57,32,assistant,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,0.0,0,,,2026-02-05T14:00:47
123,57,32,assistant,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-02-05T15:42:47
124,60,33,extraction,pdf,multipage,primary,mock-primary,mock-fallback,1,PROVIDER_ERROR,success,,,0.856,Complete,0,0,2029.5,1,,"category_substring,docx_routing",2026-02-06T11:43:05
125,60,33,category_suggestion,pdf,multipage,primary,mock-primary,mock-primary,0,,success,,,0.9,,,,348.3,1,,"category_substring,docx_routing",2026-02-06T11:43:05
126,61,34,extraction,pdf,missing_fields,primary,mock-primary,mock-primary,0,,success,,,0.769,Missing Information,1,0,1009.6,1,,"category_substring,docx_routing",2026-02-06T15:00:04
127,61,34,category_suggestion,pdf,missing_fields,primary,mock-primary,mock-primary,0,,success,,,0.74,,,,347.8,1,,"category_substring,docx_routing",2026-02-06T15:00:04
128,62,,extraction,docx,clean,primary,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,641.0,1,,"category_substring,docx_routing",2026-02-06T15:53:41
129,63,35,extraction,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.942,Complete,0,0,1071.2,1,,"category_substring,docx_routing",2026-02-06T16:55:02
130,63,35,category_suggestion,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.9,,,,294.3,1,,"category_substring,docx_routing",2026-02-06T16:55:02
131,63,35,assistant,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,0.0,0,,,2026-02-06T17:56:09
132,64,36,extraction,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.948,Complete,0,0,1084.1,1,,"category_substring,docx_routing",2026-02-06T17:58:02
133,64,36,category_suggestion,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,206.3,1,,"category_substring,docx_routing",2026-02-06T17:58:02
134,63,35,assistant,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-02-06T19:17:09
135,65,37,extraction,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.914,Complete,0,0,805.9,1,,"category_substring,docx_routing",2026-02-09T13:39:01
136,65,37,category_suggestion,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.92,,,,275.1,1,,"category_substring,docx_routing",2026-02-09T13:39:01
137,65,37,summarisation,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-02-09T14:42:04
138,66,,extraction,docx,clean,primary,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,655.8,1,,"category_substring,docx_routing",2026-02-09T16:11:38
139,67,,extraction,docx,contradictory,primary,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,1800.6,1,,"category_substring,docx_routing",2026-02-10T11:38:31
140,68,,extraction,docx,clean,primary,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,652.0,1,,"category_substring,docx_routing",2026-02-10T12:01:33
141,69,38,extraction,pdf,degraded,primary,mock-primary,mock-primary,0,,success,,,0.722,Missing Information,2,0,1566.7,1,,"category_substring,docx_routing",2026-02-10T13:44:27
142,69,38,category_suggestion,pdf,degraded,primary,mock-primary,mock-fallback,1,PROVIDER_TIMEOUT,success,,,0.85,,,,6410.6,1,,"category_substring,docx_routing",2026-02-10T13:44:27
143,69,38,assistant,pdf,degraded,primary,mock-primary,mock-primary,0,,success,,,,,,,0.0,0,,,2026-02-10T15:30:29
144,69,38,assistant,pdf,degraded,primary,mock-primary,mock-primary,0,,success,,,,,,,0.0,0,,,2026-02-10T17:10:29
145,70,,extraction,docx,clean,primary,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,672.8,1,,"category_substring,docx_routing",2026-02-11T14:31:29
146,71,,extraction,docx,clean,primary,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,672.9,1,,"category_substring,docx_routing",2026-02-12T16:15:21
147,72,,extraction,docx,contradictory,primary,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,713.6,1,,"category_substring,docx_routing",2026-02-13T08:21:34
148,73,39,extraction,pdf,missing_fields,primary,mock-primary,mock-primary,0,,success,,,0.842,Missing Information,2,0,902.1,1,,"category_substring,docx_routing",2026-02-13T10:29:45
149,73,39,category_suggestion,pdf,missing_fields,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,326.0,1,,"category_substring,docx_routing",2026-02-13T10:29:45
150,74,40,extraction,png,clean,primary,mock-primary,mock-primary,0,,success,,,0.948,Complete,0,0,1941.7,1,,"category_substring,docx_routing",2026-02-16T08:01:34
151,74,40,category_suggestion,png,clean,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,339.0,1,,"category_substring,docx_routing",2026-02-16T08:01:34
152,75,41,extraction,docx,clean,primary,mock-primary,mock-primary,0,,success,,,0.948,Complete,0,0,569.4,1,103,category_substring,2026-02-16T13:00:00
153,75,41,category_suggestion,docx,clean,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,374.7,1,,category_substring,2026-02-16T13:00:00
154,75,41,summarisation,docx,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-02-16T13:26:30
155,76,42,extraction,docx,missing_fields,primary,mock-primary,mock-primary,0,,success,,,0.891,Missing Information,1,0,814.9,1,17,category_substring,2026-02-16T14:00:00
156,76,42,category_suggestion,docx,missing_fields,primary,mock-primary,mock-primary,0,,success,,,0.89,,,,347.8,1,,category_substring,2026-02-16T14:00:00
157,77,43,extraction,docx,contradictory,primary,mock-primary,mock-primary,0,,success,,,0.906,Needs Review,0,1,806.5,1,139,category_substring,2026-02-16T15:00:00
158,77,43,category_suggestion,docx,contradictory,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,232.0,1,,category_substring,2026-02-16T15:00:00
159,76,42,summarisation,docx,missing_fields,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-02-16T15:26:58
160,77,43,summarisation,docx,contradictory,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-02-16T15:53:29
161,78,44,extraction,docx,clean,primary,mock-primary,mock-primary,0,,success,,,0.918,Complete,0,0,766.4,1,67,category_substring,2026-02-16T20:00:00
162,78,44,category_suggestion,docx,clean,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,197.9,1,,category_substring,2026-02-16T20:00:00
163,78,44,summarisation,docx,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-02-16T20:58:23
164,79,45,extraction,docx,missing_fields,primary,mock-primary,mock-primary,0,,success,,,0.842,Missing Information,2,0,551.0,1,23,category_substring,2026-02-17T06:00:00
165,79,45,category_suggestion,docx,missing_fields,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,266.4,1,,category_substring,2026-02-17T06:00:00
166,80,46,extraction,pdf,degraded,primary,mock-primary,mock-primary,0,,success,,,0.894,Complete,0,0,1985.8,1,,category_substring,2026-02-17T08:00:56
167,80,46,category_suggestion,pdf,degraded,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,240.2,1,,category_substring,2026-02-17T08:00:56
168,80,46,summarisation,pdf,degraded,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-02-17T08:15:23
169,81,47,extraction,docx,clean,primary,mock-primary,mock-primary,0,,success,,,0.948,Complete,0,0,574.2,1,145,category_substring,2026-02-17T10:00:00
170,81,47,category_suggestion,docx,clean,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,276.0,1,,category_substring,2026-02-17T10:00:00
171,80,46,assistant,pdf,degraded,primary,mock-primary,mock-primary,0,,success,,,,,,,0.0,0,,,2026-02-17T11:17:23
172,81,47,summarisation,docx,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-02-17T11:27:36
173,80,46,assistant,pdf,degraded,primary,mock-primary,mock-primary,0,,success,,,,,,,2.1,0,,,2026-02-17T11:59:23
174,82,48,extraction,docx,clean,primary,mock-primary,mock-primary,0,,success,,,0.938,Complete,0,0,780.0,1,128,category_substring,2026-02-17T12:00:00
