event_id,date_key,event_type,event_group,entity_type,processing_status,error_code
41,20260109,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
42,20260109,assistant_question,AI assistance,case,success,
43,20260109,document_uploaded,Document intake,document,success,
44,20260109,ai_extraction_completed,AI processing,ai_run,success,
45,20260109,human_review_submitted,Human review,case,,
46,20260109,case_created,Case lifecycle,case,Open,
47,20260109,summary_generated,AI assistance,case,success,
48,20260109,document_uploaded,Document intake,document,success,
49,20260109,ai_extraction_completed,AI processing,ai_run,success,
50,20260109,human_review_submitted,Human review,case,,
51,20260109,case_created,Case lifecycle,case,Awaiting information,
52,20260109,summary_generated,AI assistance,case,success,
53,20260110,document_uploaded,Document intake,document,success,
54,20260110,provider_fallback_used,AI processing,ai_run,,
55,20260110,ai_extraction_completed,AI processing,ai_run,success,
56,20260112,document_uploaded,Document intake,document,error,
57,20260112,ai_extraction_failed,AI processing,ai_run,error,AI_UNAVAILABLE
58,20260112,document_uploaded,Document intake,document,error,
59,20260112,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
60,20260112,document_uploaded,Document intake,document,success,
61,20260112,ai_extraction_completed,AI processing,ai_run,success,
62,20260112,human_review_submitted,Human review,case,,
63,20260112,case_created,Case lifecycle,case,Open,
64,20260112,summary_generated,AI assistance,case,success,
65,20260113,document_uploaded,Document intake,document,success,
66,20260113,ai_extraction_completed,AI processing,ai_run,success,
67,20260113,human_review_submitted,Human review,case,,
68,20260113,case_created,Case lifecycle,case,Awaiting information,
69,20260113,document_uploaded,Document intake,document,success,
70,20260113,ai_extraction_completed,AI processing,ai_run,success,
71,20260113,summary_generated,AI assistance,case,success,
72,20260114,document_uploaded,Document intake,document,rejected,
73,20260114,file_rejected,Input validation,document,rejected,FILE_TOO_LARGE
74,20260114,document_uploaded,Document intake,document,success,
75,20260114,ai_extraction_completed,AI processing,ai_run,success,
76,20260114,human_review_submitted,Human review,case,,
77,20260114,case_created,Case lifecycle,case,Open,
78,20260114,document_uploaded,Document intake,document,success,
79,20260114,ai_extraction_completed,AI processing,ai_run,success,
80,20260114,human_review_submitted,Human review,case,,
81,20260114,case_created,Case lifecycle,case,Open,
82,20260114,assistant_question,AI assistance,case,success,
83,20260114,summary_generated,AI assistance,case,success,
84,20260114,document_uploaded,Document intake,document,error,
85,20260114,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
86,20260116,document_uploaded,Document intake,document,success,
87,20260116,ai_extraction_completed,AI processing,ai_run,success,
88,20260116,document_uploaded,Document intake,document,error,
89,20260116,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
90,20260116,document_uploaded,Document intake,document,success,
91,20260116,ai_extraction_completed,AI processing,ai_run,success,
92,20260116,human_review_submitted,Human review,case,,
93,20260116,case_created,Case lifecycle,case,Open,
94,20260116,summary_generated,AI assistance,case,success,
95,20260116,document_uploaded,Document intake,document,success,
96,20260116,ai_extraction_completed,AI processing,ai_run,success,
97,20260116,human_review_submitted,Human review,case,,
98,20260116,case_created,Case lifecycle,case,Open,
99,20260116,summary_generated,AI assistance,case,success,
100,20260119,document_uploaded,Document intake,document,error,
101,20260119,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
102,20260119,document_uploaded,Document intake,document,success,
103,20260119,ai_extraction_completed,AI processing,ai_run,success,
104,20260119,human_review_submitted,Human review,case,,
105,20260119,case_created,Case lifecycle,case,Open,
106,20260119,document_uploaded,Document intake,document,success,
107,20260119,ai_extraction_completed,AI processing,ai_run,success,
108,20260119,human_review_submitted,Human review,case,,
109,20260119,case_created,Case lifecycle,case,Open,
110,20260120,document_uploaded,Document intake,document,success,
111,20260120,ai_extraction_completed,AI processing,ai_run,success,
112,20260120,human_review_submitted,Human review,case,,
113,20260120,case_created,Case lifecycle,case,Open,
114,20260120,assistant_question,AI assistance,case,success,
115,20260120,document_uploaded,Document intake,document,error,
116,20260120,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
117,20260121,document_uploaded,Document intake,document,success,
118,20260121,ai_extraction_completed,AI processing,ai_run,success,
119,20260121,human_review_submitted,Human review,case,,
120,20260121,case_created,Case lifecycle,case,Open,
121,20260121,document_uploaded,Document intake,document,error,
122,20260121,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
123,20260121,assistant_question,AI assistance,case,success,
124,20260121,document_uploaded,Document intake,document,success,
125,20260121,ai_extraction_completed,AI processing,ai_run,success,
126,20260121,human_review_submitted,Human review,case,,
127,20260121,case_created,Case lifecycle,case,Open,
128,20260121,summary_generated,AI assistance,case,success,
129,20260121,assistant_question,AI assistance,case,success,
130,20260122,document_uploaded,Document intake,document,success,
131,20260122,ai_extraction_completed,AI processing,ai_run,success,
132,20260122,human_review_submitted,Human review,case,,
133,20260122,case_created,Case lifecycle,case,Open,
134,20260122,summary_generated,AI assistance,case,success,
135,20260122,document_uploaded,Document intake,document,error,
136,20260122,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
137,20260122,document_uploaded,Document intake,document,success,
138,20260122,ai_extraction_completed,AI processing,ai_run,success,
139,20260122,human_review_submitted,Human review,case,,
140,20260122,case_created,Case lifecycle,case,Open,
141,20260122,summary_generated,AI assistance,case,success,
142,20260123,document_uploaded,Document intake,document,success,
143,20260123,ai_extraction_completed,AI processing,ai_run,success,
144,20260123,human_review_submitted,Human review,case,,
145,20260123,case_created,Case lifecycle,case,Open,
146,20260123,assistant_question,AI assistance,case,success,
147,20260123,assistant_question,AI assistance,case,success,
148,20260126,document_uploaded,Document intake,document,success,
149,20260126,ai_extraction_completed,AI processing,ai_run,success,
150,20260126,human_review_submitted,Human review,case,,
151,20260126,case_created,Case lifecycle,case,Open,
152,20260127,document_uploaded,Document intake,document,error,
153,20260127,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
154,20260127,document_uploaded,Document intake,document,success,
155,20260127,ai_extraction_completed,AI processing,ai_run,success,
156,20260127,human_review_submitted,Human review,case,,
157,20260127,case_created,Case lifecycle,case,Open,
158,20260127,summary_generated,AI assistance,case,success,
159,20260128,document_uploaded,Document intake,document,success,
160,20260128,ai_extraction_completed,AI processing,ai_run,success,
161,20260128,human_review_submitted,Human review,case,,
162,20260128,case_created,Case lifecycle,case,Open,
163,20260128,assistant_question,AI assistance,case,success,
164,20260128,assistant_question,AI assistance,case,success,
165,20260128,document_uploaded,Document intake,document,error,
166,20260128,ai_extraction_failed,AI processing,ai_run,error,AI_UNAVAILABLE
167,20260128,document_uploaded,Document intake,document,success,
168,20260128,ai_extraction_completed,AI processing,ai_run,success,
169,20260128,human_review_submitted,Human review,case,,
170,20260128,case_created,Case lifecycle,case,Open,
171,20260128,summary_generated,AI assistance,case,success,
172,20260129,document_uploaded,Document intake,document,error,
173,20260129,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
174,20260130,document_uploaded,Document intake,document,error,
175,20260130,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
176,20260130,document_uploaded,Document intake,document,error,
177,20260130,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
178,20260130,document_uploaded,Document intake,document,success,
179,20260130,ai_extraction_completed,AI processing,ai_run,success,
180,20260130,human_review_submitted,Human review,case,,
181,20260130,case_created,Case lifecycle,case,Open,
182,20260130,summary_generated,AI assistance,case,success,
183,20260131,document_uploaded,Document intake,document,success,
184,20260131,ai_extraction_completed,AI processing,ai_run,success,
185,20260203,document_uploaded,Document intake,document,success,
186,20260203,provider_fallback_used,AI processing,ai_run,,
187,20260203,ai_extraction_completed,AI processing,ai_run,success,
188,20260203,human_review_submitted,Human review,case,,
189,20260203,case_created,Case lifecycle,case,Open,
190,20260203,document_uploaded,Document intake,document,error,
191,20260203,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
192,20260203,document_uploaded,Document intake,document,error,
193,20260203,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
194,20260204,document_uploaded,Document intake,document,error,
195,20260204,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
196,20260204,document_uploaded,Document intake,document,success,
197,20260204,ai_extraction_completed,AI processing,ai_run,success,
198,20260204,human_review_submitted,Human review,case,,
199,20260204,case_created,Case lifecycle,case,Open,
200,20260204,summary_generated,AI assistance,case,success,
201,20260204,document_uploaded,Document intake,document,success,
202,20260204,ai_extraction_completed,AI processing,ai_run,success,
203,20260204,human_review_submitted,Human review,case,,
204,20260204,case_created,Case lifecycle,case,Open,
205,20260204,summary_generated,AI assistance,case,success,
206,20260205,document_uploaded,Document intake,document,success,
207,20260205,ai_extraction_completed,AI processing,ai_run,success,
208,20260205,human_review_submitted,Human review,case,,
209,20260205,case_created,Case lifecycle,case,Open,
210,20260205,assistant_question,AI assistance,case,success,
211,20260205,assistant_question,AI assistance,case,success,
212,20260205,document_uploaded,Document intake,document,rejected,
213,20260205,file_rejected,Input validation,document,rejected,UNSUPPORTED_FORMAT
214,20260205,document_uploaded,Document intake,document,rejected,
215,20260205,file_rejected,Input validation,document,rejected,FILE_TOO_LARGE
216,20260206,document_uploaded,Document intake,document,success,
217,20260206,provider_fallback_used,AI processing,ai_run,,
218,20260206,ai_extraction_completed,AI processing,ai_run,success,
219,20260206,human_review_submitted,Human review,case,,
220,20260206,case_created,Case lifecycle,case,Open,
221,20260206,document_uploaded,Document intake,document,success,
222,20260206,ai_extraction_completed,AI processing,ai_run,success,
223,20260206,human_review_submitted,Human review,case,,
224,20260206,case_created,Case lifecycle,case,Awaiting information,
225,20260206,document_uploaded,Document intake,document,error,
226,20260206,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
227,20260206,document_uploaded,Document intake,document,success,
228,20260206,ai_extraction_completed,AI processing,ai_run,success,
229,20260206,human_review_submitted,Human review,case,,
230,20260206,case_created,Case lifecycle,case,Open,
231,20260206,assistant_question,AI assistance,case,success,
232,20260206,document_uploaded,Document intake,document,success,
233,20260206,ai_extraction_completed,AI processing,ai_run,success,
234,20260206,human_review_submitted,Human review,case,,
235,20260206,case_created,Case lifecycle,case,Open,
236,20260206,assistant_question,AI assistance,case,success,
237,20260209,document_uploaded,Document intake,document,success,
238,20260209,ai_extraction_completed,AI processing,ai_run,success,
239,20260209,human_review_submitted,Human review,case,,
240,20260209,case_created,Case lifecycle,case,Open,
241,20260209,summary_generated,AI assistance,case,success,
242,20260209,document_uploaded,Document intake,document,error,
243,20260209,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
244,20260210,document_uploaded,Document intake,document,error,
245,20260210,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
246,20260210,document_uploaded,Document intake,document,error,
247,20260210,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
248,20260210,document_uploaded,Document intake,document,success,
249,20260210,ai_extraction_completed,AI processing,ai_run,success,
250,20260210,human_review_submitted,Human review,case,,
251,20260210,case_created,Case lifecycle,case,Open,
252,20260210,assistant_question,AI assistance,case,success,
253,20260210,assistant_question,AI assistance,case,success,
254,20260211,document_uploaded,Document intake,document,error,
255,20260211,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
256,20260212,document_uploaded,Document intake,document,error,
257,20260212,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
258,20260213,document_uploaded,Document intake,document,error,
259,20260213,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
260,20260213,document_uploaded,Document intake,document,success,
261,20260213,ai_extraction_completed,AI processing,ai_run,success,
262,20260213,human_review_submitted,Human review,case,,
263,20260213,case_created,Case lifecycle,case,Awaiting information,
264,20260215,case_updated,Human review,case,,
265,20260216,document_uploaded,Document intake,document,success,
266,20260216,ai_extraction_completed,AI processing,ai_run,success,
267,20260216,human_review_submitted,Human review,case,,
268,20260216,case_created,Case lifecycle,case,Open,
269,20260216,case_updated,Human review,case,,
270,20260216,document_uploaded,Document intake,document,success,
271,20260216,ai_extraction_completed,AI processing,ai_run,success,
272,20260216,human_review_submitted,Human review,case,,
273,20260216,case_created,Case lifecycle,case,Open,
274,20260216,summary_generated,AI assistance,case,success,
275,20260216,document_uploaded,Document intake,document,success,
276,20260216,ai_extraction_completed,AI processing,ai_run,success,
277,20260216,human_review_submitted,Human review,case,,
278,20260216,case_created,Case lifecycle,case,Awaiting information,
279,20260216,document_uploaded,Document intake,document,success,
280,20260216,ai_extraction_completed,AI processing,ai_run,success,
281,20260216,human_review_submitted,Human review,case,,
282,20260216,case_created,Case lifecycle,case,Open,
283,20260216,summary_generated,AI assistance,case,success,
284,20260216,summary_generated,AI assistance,case,success,
285,20260216,document_uploaded,Document intake,document,success,
286,20260216,ai_extraction_completed,AI processing,ai_run,success,
287,20260216,human_review_submitted,Human review,case,,
288,20260216,case_created,Case lifecycle,case,Open,
289,20260216,summary_generated,AI assistance,case,success,
290,20260217,document_uploaded,Document intake,document,success,
291,20260217,ai_extraction_completed,AI processing,ai_run,success,
292,20260217,human_review_submitted,Human review,case,,
293,20260217,case_created,Case lifecycle,case,Awaiting information,
294,20260217,document_uploaded,Document intake,document,success,
295,20260217,ai_extraction_completed,AI processing,ai_run,success,
296,20260217,human_review_submitted,Human review,case,,
297,20260217,case_created,Case lifecycle,case,Open,
298,20260217,summary_generated,AI assistance,case,success,
299,20260217,document_uploaded,Document intake,document,success,
300,20260217,ai_extraction_completed,AI processing,ai_run,success,
301,20260217,human_review_submitted,Human review,case,,
302,20260217,case_created,Case lifecycle,case,Open,
303,20260217,assistant_question,AI assistance,case,success,
304,20260217,summary_generated,AI assistance,case,success,
305,20260217,assistant_question,AI assistance,case,success,
306,20260217,document_uploaded,Document intake,document,success,
307,20260217,ai_extraction_completed,AI processing,ai_run,success,
308,20260217,human_review_submitted,Human review,case,,
309,20260217,case_created,Case lifecycle,case,Open,
310,20260217,summary_generated,AI assistance,case,success,
311,20260217,document_uploaded,Document intake,document,success,
312,20260217,ai_extraction_completed,AI processing,ai_run,success,
313,20260217,human_review_submitted,Human review,case,,
314,20260217,case_created,Case lifecycle,case,Open,
315,20260217,assistant_question,AI assistance,case,success,
316,20260217,assistant_question,AI assistance,case,success,
317,20260217,document_uploaded,Document intake,document,success,
318,20260217,ai_extraction_completed,AI processing,ai_run,success,
319,20260217,human_review_submitted,Human review,case,,
320,20260217,case_created,Case lifecycle,case,Open,
321,20260218,document_uploaded,Document intake,document,success,
322,20260218,ai_extraction_completed,AI processing,ai_run,success,
323,20260218,human_review_submitted,Human review,case,,
324,20260218,case_created,Case lifecycle,case,Open,
325,20260218,document_uploaded,Document intake,document,success,
326,20260218,ai_extraction_completed,AI processing,ai_run,success,
327,20260218,human_review_submitted,Human review,case,,
328,20260218,case_created,Case lifecycle,case,Open,
329,20260218,document_uploaded,Document intake,document,success,
330,20260218,ai_extraction_completed,AI processing,ai_run,success,
331,20260218,human_review_submitted,Human review,case,,
332,20260218,case_created,Case lifecycle,case,Awaiting information,
333,20260218,document_uploaded,Document intake,document,success,
334,20260218,ai_extraction_completed,AI processing,ai_run,success,
335,20260218,human_review_submitted,Human review,case,,
336,20260218,case_created,Case lifecycle,case,Open,
337,20260218,document_uploaded,Document intake,document,success,
338,20260218,ai_extraction_completed,AI processing,ai_run,success,
339,20260218,human_review_submitted,Human review,case,,
340,20260218,case_created,Case lifecycle,case,Open,
341,20260218,document_uploaded,Document intake,document,success,
342,20260218,provider_fallback_used,AI processing,ai_run,,
343,20260218,ai_extraction_completed,AI processing,ai_run,success,
344,20260218,human_review_submitted,Human review,case,,
345,20260218,case_created,Case lifecycle,case,Open,
346,20260218,summary_generated,AI assistance,case,success,
347,20260218,summary_generated,AI assistance,case,success,
348,20260218,document_uploaded,Document intake,document,success,
349,20260218,ai_extraction_completed,AI processing,ai_run,success,
350,20260218,human_review_submitted,Human review,case,,
351,20260218,case_created,Case lifecycle,case,Open,
352,20260218,summary_generated,AI assistance,case,success,
353,20260218,document_uploaded,Document intake,document,success,
354,20260218,ai_extraction_completed,AI processing,ai_run,success,
355,20260218,human_review_submitted,Human review,case,,
356,20260218,case_created,Case lifecycle,case,Open,
357,20260218,summary_generated,AI assistance,case,success,
358,20260218,document_uploaded,Document intake,document,success,
359,20260218,ai_extraction_completed,AI processing,ai_run,success,
360,20260218,human_review_submitted,Human review,case,,
361,20260218,case_created,Case lifecycle,case,Open,
362,20260218,assistant_question,AI assistance,case,success,
363,20260218,summary_generated,AI assistance,case,success,
364,20260218,assistant_question,AI assistance,case,success,
365,20260218,document_uploaded,Document intake,document,success,
366,20260218,ai_extraction_completed,AI processing,ai_run,success,
367,20260218,human_review_submitted,Human review,case,,
368,20260218,case_created,Case lifecycle,case,Open,
369,20260218,assistant_question,AI assistance,case,success,
370,20260218,document_uploaded,Document intake,document,success,
371,20260218,ai_extraction_completed,AI processing,ai_run,success,
372,20260218,human_review_submitted,Human review,case,,
373,20260218,case_created,Case lifecycle,case,Open,
374,20260218,document_uploaded,Document intake,document,success,
375,20260218,ai_extraction_completed,AI processing,ai_run,success,
376,20260218,human_review_submitted,Human review,case,,
377,20260218,case_created,Case lifecycle,case,Open,
378,20260219,document_uploaded,Document intake,document,success,
379,20260219,ai_extraction_completed,AI processing,ai_run,success,
380,20260219,human_review_submitted,Human review,case,,
381,20260219,case_created,Case lifecycle,case,Open,
382,20260219,document_uploaded,Document intake,document,success,
383,20260219,ai_extraction_completed,AI processing,ai_run,success,
384,20260219,human_review_submitted,Human review,case,,
385,20260219,case_created,Case lifecycle,case,Open,
386,20260219,assistant_question,AI assistance,case,success,
387,20260219,assistant_question,AI assistance,case,success,
388,20260219,document_uploaded,Document intake,document,success,
389,20260219,ai_extraction_completed,AI processing,ai_run,success,
390,20260219,human_review_submitted,Human review,case,,
391,20260219,case_created,Case lifecycle,case,Open,
392,20260219,document_uploaded,Document intake,document,success,
393,20260219,ai_extraction_completed,AI processing,ai_run,success,
394,20260219,human_review_submitted,Human review,case,,
395,20260219,case_created,Case lifecycle,case,Open,
396,20260219,document_uploaded,Document intake,document,success,
397,20260219,ai_extraction_completed,AI processing,ai_run,success,
398,20260219,human_review_submitted,Human review,case,,
399,20260219,case_created,Case lifecycle,case,Open,
400,20260219,summary_generated,AI assistance,case,success,
401,20260219,summary_generated,AI assistance,case,success,
402,20260219,assistant_question,AI assistance,case,success,
403,20260219,assistant_question,AI assistance,case,success,
404,20260219,document_uploaded,Document intake,document,success,
405,20260219,ai_extraction_completed,AI processing,ai_run,success,
406,20260219,human_review_submitted,Human review,case,,
407,20260219,case_created,Case lifecycle,case,Open,
408,20260219,duplicate_submission_ignored,Duplicate prevention,case,,
409,20260219,document_uploaded,Document intake,document,success,
410,20260219,ai_extraction_completed,AI processing,ai_run,success,
411,20260219,human_review_submitted,Human review,case,,
412,20260219,case_created,Case lifecycle,case,Open,
413,20260219,summary_generated,AI assistance,case,success,
414,20260219,summary_generated,AI assistance,case,success,
415,20260219,assistant_question,AI assistance,case,success,
416,20260219,assistant_question,AI assistance,case,success,
417,20260219,assistant_question,AI assistance,case,success,
418,20260219,assistant_question,AI assistance,case,success,
419,20260219,document_uploaded,Document intake,document,success,
420,20260219,ai_extraction_completed,AI processing,ai_run,success,
421,20260219,human_review_submitted,Human review,case,,
422,20260219,case_created,Case lifecycle,case,Awaiting information,
423,20260219,document_uploaded,Document intake,document,success,
424,20260219,ai_extraction_completed,AI processing,ai_run,success,
425,20260219,human_review_submitted,Human review,case,,
426,20260219,case_created,Case lifecycle,case,Open,
427,20260219,summary_generated,AI assistance,case,success,
428,20260220,document_uploaded,Document intake,document,success,
429,20260220,ai_extraction_completed,AI processing,ai_run,success,
430,20260220,human_review_submitted,Human review,case,,
431,20260220,case_created,Case lifecycle,case,Open,
432,20260220,case_updated,Human review,case,,
433,20260221,case_updated,Human review,case,,
434,20260223,document_uploaded,Document intake,document,success,
435,20260223,ai_extraction_completed,AI processing,ai_run,success,
436,20260223,human_review_submitted,Human review,case,,
437,20260223,case_created,Case lifecycle,case,Open,
438,20260223,document_uploaded,Document intake,document,success,
439,20260223,ai_extraction_completed,AI processing,ai_run,success,
440,20260223,case_updated,Human review,case,,
441,20260224,document_uploaded,Document intake,document,success,
442,20260224,ai_extraction_completed,AI processing,ai_run,success,
443,20260224,case_updated,Human review,case,,
444,20260225,document_uploaded,Document intake,document,success,
445,20260225,ai_extraction_completed,AI processing,ai_run,success,
446,20260225,human_review_submitted,Human review,case,,
447,20260225,case_created,Case lifecycle,case,Open,
448,20260226,case_updated,Human review,case,,
449,20260226,document_uploaded,Document intake,document,success,
450,20260226,ai_extraction_completed,AI processing,ai_run,success,
451,20260226,human_review_submitted,Human review,case,,
452,20260226,case_created,Case lifecycle,case,Open,
453,20260227,document_uploaded,Document intake,document,success,
454,20260227,ai_extraction_completed,AI processing,ai_run,success,
455,20260227,human_review_submitted,Human review,case,,
456,20260227,case_created,Case lifecycle,case,Open,
457,20260227,case_updated,Human review,case,,
458,20260301,case_updated,Human review,case,,
459,20260302,document_uploaded,Document intake,document,success,
460,20260302,ai_extraction_completed,AI processing,ai_run,success,
461,20260302,human_review_submitted,Human review,case,,
462,20260302,case_created,Case lifecycle,case,Open,
463,20260302,summary_generated,AI assistance,case,success,
464,20260302,document_uploaded,Document intake,document,success,
465,20260302,ai_extraction_completed,AI processing,ai_run,success,
466,20260302,human_review_submitted,Human review,case,,
467,20260302,case_created,Case lifecycle,case,Open,
468,20260302,document_uploaded,Document intake,document,success,
469,20260302,ai_extraction_completed,AI processing,ai_run,success,
470,20260302,document_uploaded,Document intake,document,rejected,
471,20260302,file_rejected,Input validation,document,rejected,UNSUPPORTED_FORMAT
472,20260303,document_uploaded,Document intake,document,success,
473,20260303,ai_extraction_completed,AI processing,ai_run,success,
474,20260303,human_review_submitted,Human review,case,,
475,20260303,case_created,Case lifecycle,case,Open,
476,20260303,document_uploaded,Document intake,document,success,
477,20260303,ai_extraction_completed,AI processing,ai_run,success,
478,20260303,human_review_submitted,Human review,case,,
479,20260303,case_created,Case lifecycle,case,Open,
480,20260303,summary_generated,AI assistance,case,success,
481,20260303,document_uploaded,Document intake,document,success,
482,20260303,ai_extraction_completed,AI processing,ai_run,success,
483,20260303,human_review_submitted,Human review,case,,
484,20260303,case_created,Case lifecycle,case,Open,
485,20260304,document_uploaded,Document intake,document,success,
486,20260304,ai_extraction_completed,AI processing,ai_run,success,
487,20260304,human_review_submitted,Human review,case,,
488,20260304,case_created,Case lifecycle,case,Open,
489,20260304,document_uploaded,Document intake,document,success,
490,20260304,provider_fallback_used,AI processing,ai_run,,
491,20260304,ai_extraction_completed,AI processing,ai_run,success,
492,20260304,human_review_submitted,Human review,case,,
493,20260304,case_created,Case lifecycle,case,Open,
494,20260304,document_uploaded,Document intake,document,success,
495,20260304,ai_extraction_completed,AI processing,ai_run,success,
496,20260304,duplicate_case_blocked,Duplicate prevention,case,,
497,20260305,document_uploaded,Document intake,document,success,
498,20260305,provider_fallback_used,AI processing,ai_run,,
499,20260305,ai_extraction_completed,AI processing,ai_run,success,
500,20260305,human_review_submitted,Human review,case,,
501,20260305,case_created,Case lifecycle,case,Open,
502,20260305,document_uploaded,Document intake,document,success,
503,20260305,ai_extraction_completed,AI processing,ai_run,success,
504,20260305,human_review_submitted,Human review,case,,
505,20260305,case_created,Case lifecycle,case,Open,
506,20260305,document_uploaded,Document intake,document,success,
507,20260305,provider_fallback_used,AI processing,ai_run,,
508,20260305,ai_extraction_completed,AI processing,ai_run,success,
509,20260305,human_review_submitted,Human review,case,,
510,20260305,case_created,Case lifecycle,case,Open,
511,20260305,assistant_question,AI assistance,case,success,
512,20260305,summary_generated,AI assistance,case,success,
513,20260305,assistant_question,AI assistance,case,success,
514,20260305,summary_generated,AI assistance,case,success,
515,20260305,summary_generated,AI assistance,case,success,
516,20260305,assistant_question,AI assistance,case,success,
517,20260305,assistant_question,AI assistance,case,success,
518,20260306,document_uploaded,Document intake,document,success,
519,20260306,ai_extraction_completed,AI processing,ai_run,success,
520,20260306,document_uploaded,Document intake,document,success,
521,20260306,provider_fallback_used,AI processing,ai_run,,
522,20260306,ai_extraction_completed,AI processing,ai_run,success,
523,20260306,human_review_submitted,Human review,case,,
524,20260306,case_created,Case lifecycle,case,Open,
525,20260306,summary_generated,AI assistance,case,success,
526,20260306,document_uploaded,Document intake,document,success,
527,20260306,ai_extraction_completed,AI processing,ai_run,success,
528,20260306,human_review_submitted,Human review,case,,
529,20260306,case_created,Case lifecycle,case,Open,
530,20260306,document_uploaded,Document intake,document,success,
531,20260306,ai_extraction_completed,AI processing,ai_run,success,
532,20260306,human_review_submitted,Human review,case,,
533,20260306,case_created,Case lifecycle,case,Open,
534,20260306,summary_generated,AI assistance,case,success,
535,20260306,document_uploaded,Document intake,document,success,
536,20260306,ai_extraction_completed,AI processing,ai_run,success,
537,20260306,human_review_submitted,Human review,case,,
538,20260306,case_created,Case lifecycle,case,Open,
539,20260306,summary_generated,AI assistance,case,success,
540,20260306,assistant_question,AI assistance,case,success,
541,20260308,case_updated,Human review,case,,
542,20260308,document_uploaded,Document intake,document,success,
543,20260308,provider_fallback_used,AI processing,ai_run,,
544,20260308,ai_extraction_completed,AI processing,ai_run,success,
545,20260309,document_uploaded,Document intake,document,success,
546,20260309,ai_extraction_completed,AI processing,ai_run,success,
547,20260309,human_review_submitted,Human review,case,,
548,20260309,case_created,Case lifecycle,case,Open,
549,20260309,assistant_question,AI assistance,case,success,
550,20260309,assistant_question,AI assistance,case,success,
551,20260310,case_updated,Human review,case,,
552,20260310,document_uploaded,Document intake,document,success,
553,20260310,ai_extraction_completed,AI processing,ai_run,success,
554,20260310,human_review_submitted,Human review,case,,
555,20260310,case_created,Case lifecycle,case,Open,
556,20260310,summary_generated,AI assistance,case,success,
