ai_run_id,date_key,document_type_id,provider_id,task,document_role,status,is_success,is_error,error_stage,error_code,fallback_used,fallback_reason,confidence_score,confidence_band,intake_status,needs_review,missing_count,conflict_count,processing_ms,latency_is_simulated,is_retry,case_id
44,20260114,1,1,category suggestion,primary,success,1,0,,,0,,0.9,5. >= 0.90,,0,,,188.3,1,0,12
45,20260114,1,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,964.7,1,0,13
46,20260114,1,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,404.0,1,0,13
47,20260114,1,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,12
48,20260114,1,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,13
49,20260114,6,3,extraction,primary,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,647.9,1,0,
50,20260116,3,1,extraction,supporting,success,1,0,,,0,,0.755,3. 0.70-0.79,Missing Information,1,1,0,1739.5,1,0,7
51,20260116,3,1,category suggestion,supporting,success,1,0,,,0,,0.85,4. 0.80-0.89,,0,,,293.8,1,0,7
52,20260116,6,3,extraction,primary,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,516.4,1,0,
53,20260116,2,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,2142.6,1,0,14
54,20260116,2,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,350.2,1,0,14
55,20260116,2,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,14
56,20260116,3,1,extraction,primary,success,1,0,,,0,,0.918,5. >= 0.90,Complete,0,0,0,1933.6,1,0,15
57,20260116,3,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,328.2,1,0,15
58,20260116,3,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,15
59,20260119,7,3,extraction,primary,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,693.2,1,0,
60,20260119,2,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,1330.1,1,0,16
61,20260119,2,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,282.2,1,0,16
62,20260119,11,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,2219.8,1,0,17
63,20260119,11,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,238.9,1,0,17
64,20260120,3,1,extraction,primary,success,1,0,,,0,,0.912,5. >= 0.90,Complete,0,0,0,2100.3,1,0,18
65,20260120,3,1,category suggestion,primary,success,1,0,,,0,,0.88,4. 0.80-0.89,,0,,,306.9,1,0,18
66,20260120,3,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,18
67,20260120,6,3,extraction,primary,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,615.9,1,0,
68,20260121,1,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,906.4,1,0,19
69,20260121,1,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,334.2,1,0,19
70,20260121,6,3,extraction,primary,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,527.9,1,0,
71,20260121,1,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,19
72,20260121,11,1,extraction,primary,success,1,0,,,0,,0.938,5. >= 0.90,Complete,0,0,0,1865.9,1,0,20
73,20260121,11,1,category suggestion,primary,success,1,0,,,0,,0.86,4. 0.80-0.89,,0,,,379.4,1,0,20
74,20260121,11,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,20
75,20260121,11,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,20
76,20260122,1,1,extraction,primary,success,1,0,,,0,,0.918,5. >= 0.90,Complete,0,0,0,879.5,1,0,21
77,20260122,1,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,415.3,1,0,21
78,20260122,1,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,21
79,20260122,6,3,extraction,primary,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,501.6,1,0,
80,20260122,10,1,extraction,primary,success,1,0,,,0,,0.814,4. 0.80-0.89,Missing Information,1,1,0,3066.9,1,0,22
81,20260122,10,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,261.4,1,0,22
82,20260122,10,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,22
83,20260123,1,1,extraction,primary,success,1,0,,,0,,0.937,5. >= 0.90,Complete,0,0,0,924.1,1,0,23
84,20260123,1,2,category suggestion,primary,success,1,0,,,1,PROVIDER_TIMEOUT,0.85,4. 0.80-0.89,,0,,,6237.5,1,0,23
85,20260123,1,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.3,0,0,23
86,20260123,1,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,23
87,20260126,2,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,2151.5,1,0,24
88,20260126,2,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,261.9,1,0,24
89,20260127,8,3,extraction,primary,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,817.4,1,0,
90,20260127,2,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,1887.6,1,0,25
91,20260127,2,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,205.2,1,0,25
92,20260127,2,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,25
93,20260128,2,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,2037.1,1,0,26
94,20260128,2,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,246.1,1,0,26
95,20260128,2,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,26
96,20260128,2,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,26
97,20260128,9,3,extraction,primary,error,0,1,ai provider,AI_UNAVAILABLE,1,PROVIDER_ERROR,,0. no output (error),,0,,,4022.2,1,0,
98,20260128,9,1,extraction,primary,success,1,0,,,0,,0.922,5. >= 0.90,Complete,0,0,0,2272.2,1,1,27
99,20260128,9,1,category suggestion,primary,success,1,0,,,0,,0.72,3. 0.70-0.79,,0,,,258.1,1,0,27
100,20260128,9,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,27
101,20260129,6,3,extraction,primary,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,744.2,1,0,
102,20260130,8,3,extraction,primary,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,2000.0,1,0,
103,20260130,6,3,extraction,primary,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,548.1,1,0,
104,20260130,1,1,extraction,primary,success,1,0,,,0,,0.924,5. >= 0.90,Complete,0,0,0,876.2,1,0,28
105,20260130,1,1,category suggestion,primary,success,1,0,,,0,,0.74,3. 0.70-0.79,,0,,,241.1,1,0,28
106,20260130,1,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,28
107,20260131,3,1,extraction,supporting,success,1,0,,,0,,0.816,4. 0.80-0.89,Complete,0,0,0,1698.3,1,0,22
108,20260131,3,1,category suggestion,supporting,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,298.6,1,0,22
109,20260203,9,2,extraction,primary,success,1,0,,,1,PROVIDER_TIMEOUT,0.861,4. 0.80-0.89,Complete,0,0,0,8143.5,1,0,29
110,20260203,9,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,375.2,1,0,29
111,20260203,6,3,extraction,primary,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,664.6,1,0,
112,20260203,6,3,extraction,primary,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,791.0,1,0,
113,20260204,6,3,extraction,primary,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,756.3,1,0,
114,20260204,1,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,861.6,1,0,30
115,20260204,1,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,362.7,1,0,30
116,20260204,1,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,30
117,20260204,1,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,873.5,1,0,31
118,20260204,1,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,390.3,1,0,31
119,20260204,1,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,31
120,20260205,1,1,extraction,primary,success,1,0,,,0,,0.918,5. >= 0.90,Complete,0,0,0,1100.1,1,0,32
121,20260205,1,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,203.0,1,0,32
122,20260205,1,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,32
123,20260205,1,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,32
124,20260206,2,2,extraction,primary,success,1,0,,,1,PROVIDER_ERROR,0.856,4. 0.80-0.89,Complete,0,0,0,2029.5,1,0,33
125,20260206,2,1,category suggestion,primary,success,1,0,,,0,,0.9,5. >= 0.90,,0,,,348.3,1,0,33
126,20260206,4,1,extraction,primary,success,1,0,,,0,,0.769,3. 0.70-0.79,Missing Information,1,1,0,1009.6,1,0,34
127,20260206,4,1,category suggestion,primary,success,1,0,,,0,,0.74,3. 0.70-0.79,,0,,,347.8,1,0,34
128,20260206,6,3,extraction,primary,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,641.0,1,0,
129,20260206,1,1,extraction,primary,success,1,0,,,0,,0.942,5. >= 0.90,Complete,0,0,0,1071.2,1,0,35
130,20260206,1,1,category suggestion,primary,success,1,0,,,0,,0.9,5. >= 0.90,,0,,,294.3,1,0,35
131,20260206,1,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,35
132,20260206,1,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,1084.1,1,0,36
133,20260206,1,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,206.3,1,0,36
134,20260206,1,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,35
135,20260209,1,1,extraction,primary,success,1,0,,,0,,0.914,5. >= 0.90,Complete,0,0,0,805.9,1,0,37
136,20260209,1,1,category suggestion,primary,success,1,0,,,0,,0.92,5. >= 0.90,,0,,,275.1,1,0,37
137,20260209,1,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,37
138,20260209,6,3,extraction,primary,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,655.8,1,0,
139,20260210,8,3,extraction,primary,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,1800.6,1,0,
140,20260210,6,3,extraction,primary,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,652.0,1,0,
141,20260210,3,1,extraction,primary,success,1,0,,,0,,0.722,3. 0.70-0.79,Missing Information,1,2,0,1566.7,1,0,38
142,20260210,3,2,category suggestion,primary,success,1,0,,,1,PROVIDER_TIMEOUT,0.85,4. 0.80-0.89,,0,,,6410.6,1,0,38
143,20260210,3,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,38
144,20260210,3,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,38
145,20260211,6,3,extraction,primary,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,672.8,1,0,
146,20260212,6,3,extraction,primary,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,672.9,1,0,
147,20260213,8,3,extraction,primary,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,713.6,1,0,
148,20260213,4,1,extraction,primary,success,1,0,,,0,,0.842,4. 0.80-0.89,Missing Information,1,2,0,902.1,1,0,39
149,20260213,4,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,326.0,1,0,39
150,20260216,11,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,1941.7,1,0,40
151,20260216,11,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,339.0,1,0,40
152,20260216,6,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,569.4,1,1,41
153,20260216,6,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,374.7,1,0,41
154,20260216,6,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,41
155,20260216,7,1,extraction,primary,success,1,0,,,0,,0.891,4. 0.80-0.89,Missing Information,1,1,0,814.9,1,1,42
156,20260216,7,1,category suggestion,primary,success,1,0,,,0,,0.89,4. 0.80-0.89,,0,,,347.8,1,0,42
157,20260216,8,1,extraction,primary,success,1,0,,,0,,0.906,5. >= 0.90,Needs Review,1,0,1,806.5,1,1,43
158,20260216,8,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,232.0,1,0,43
159,20260216,7,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,42
160,20260216,8,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,43
161,20260216,6,1,extraction,primary,success,1,0,,,0,,0.918,5. >= 0.90,Complete,0,0,0,766.4,1,1,44
162,20260216,6,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,197.9,1,0,44
163,20260216,6,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,44
164,20260217,7,1,extraction,primary,success,1,0,,,0,,0.842,4. 0.80-0.89,Missing Information,1,2,0,551.0,1,1,45
165,20260217,7,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,266.4,1,0,45
166,20260217,3,1,extraction,primary,success,1,0,,,0,,0.894,4. 0.80-0.89,Complete,0,0,0,1985.8,1,0,46
167,20260217,3,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,240.2,1,0,46
168,20260217,3,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,46
169,20260217,6,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,574.2,1,1,47
170,20260217,6,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,276.0,1,0,47
171,20260217,3,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,46
172,20260217,6,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,47
173,20260217,3,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,2.1,0,0,46
174,20260217,6,1,extraction,primary,success,1,0,,,0,,0.938,5. >= 0.90,Complete,0,0,0,780.0,1,1,48
175,20260217,6,1,category suggestion,primary,success,1,0,,,0,,0.86,4. 0.80-0.89,,0,,,287.9,1,0,48
176,20260217,6,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,48
177,20260217,2,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,1366.5,1,0,49
178,20260217,2,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,342.0,1,0,49
179,20260217,2,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,49
180,20260217,2,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,49
181,20260217,6,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,633.0,1,1,50
182,20260217,6,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,402.9,1,0,50
183,20260218,6,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,823.3,1,1,51
184,20260218,6,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,285.5,1,0,51
185,20260218,8,1,extraction,primary,success,1,0,,,0,,0.9,5. >= 0.90,Needs Review,1,0,1,680.8,1,1,52
186,20260218,8,1,category suggestion,primary,success,1,0,,,0,,0.9,5. >= 0.90,,0,,,398.0,1,0,52
187,20260218,7,1,extraction,primary,success,1,0,,,0,,0.737,3. 0.70-0.79,Missing Information,1,2,0,536.1,1,1,53
188,20260218,7,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,305.4,1,0,53
189,20260218,6,1,extraction,primary,success,1,0,,,0,,0.918,5. >= 0.90,Complete,0,0,0,737.9,1,1,54
190,20260218,6,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,318.1,1,0,54
191,20260218,8,1,extraction,primary,success,1,0,,,0,,0.906,5. >= 0.90,Needs Review,1,0,1,645.9,1,1,55
192,20260218,8,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,186.5,1,0,55
193,20260218,6,2,extraction,primary,success,1,0,,,1,INVALID_OUTPUT,0.861,4. 0.80-0.89,Complete,0,0,0,1920.0,1,1,56
194,20260218,6,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,270.8,1,0,56
195,20260218,8,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,55
196,20260218,6,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,56
197,20260218,6,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,591.0,1,1,57
198,20260218,6,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,257.6,1,0,57
199,20260218,6,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,57
200,20260218,6,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,500.6,1,1,58
201,20260218,6,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,239.8,1,0,58
202,20260218,6,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,58
203,20260218,6,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,661.8,1,1,59
204,20260218,6,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,305.0,1,0,59
205,20260218,6,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,58
206,20260218,6,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,59
207,20260218,6,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,59
208,20260218,1,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,980.4,1,0,60
209,20260218,1,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,337.4,1,0,60
210,20260218,6,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,59
211,20260218,8,1,extraction,primary,success,1,0,,,0,,0.876,4. 0.80-0.89,Needs Review,1,0,1,517.1,1,1,61
212,20260218,8,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,353.5,1,0,61
213,20260218,6,1,extraction,primary,success,1,0,,,0,,0.938,5. >= 0.90,Complete,0,0,0,554.5,1,1,62
214,20260218,6,1,category suggestion,primary,success,1,0,,,0,,0.86,4. 0.80-0.89,,0,,,222.4,1,0,62
215,20260219,6,1,extraction,primary,success,1,0,,,0,,0.938,5. >= 0.90,Complete,0,0,0,776.3,1,1,63
216,20260219,6,1,category suggestion,primary,success,1,0,,,0,,0.86,4. 0.80-0.89,,0,,,326.3,1,0,63
217,20260219,6,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,717.2,1,1,64
218,20260219,6,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,243.9,1,0,64
219,20260219,6,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,64
220,20260219,6,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,64
221,20260219,6,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,711.2,1,1,65
222,20260219,6,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,273.0,1,0,65
223,20260219,8,1,extraction,primary,success,1,0,,,0,,0.906,5. >= 0.90,Needs Review,1,0,1,566.4,1,1,66
224,20260219,8,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,364.5,1,0,66
225,20260219,6,1,extraction,primary,success,1,0,,,0,,0.938,5. >= 0.90,Complete,0,0,0,786.9,1,1,67
226,20260219,6,1,category suggestion,primary,success,1,0,,,0,,0.86,4. 0.80-0.89,,0,,,350.8,1,0,67
227,20260219,6,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,65
228,20260219,8,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,66
229,20260219,6,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,67
230,20260219,6,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,67
231,20260219,4,1,extraction,primary,success,1,0,,,0,,0.892,4. 0.80-0.89,Needs Review,1,0,0,755.1,1,0,68
232,20260219,4,1,category suggestion,primary,success,1,0,,,0,,0.9,5. >= 0.90,,0,,,363.2,1,0,68
233,20260219,11,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,2398.4,1,0,69
234,20260219,11,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,204.2,1,0,69
